Theta/θ Phi/φ Chi/χ Potential/H
1.25663706144 0.0 2.51327412287 -220.997632940000
1.25663706144 0.0 2.51327412287 -220.997685620000
1.25663706144 0.0 2.51327412287 -220.997706860000
1.25663706144 0.0 2.51327412287 -220.997730910000
1.25663706144 0.0 2.51327412287 -220.997747010000
1.25663706144 0.0 3.76991118431 -220.997779520000
1.25663706144 0.0 3.76991118431 -220.997801700000
1.25663706144 0.0 3.76991118431 -220.997810990000
1.25663706144 0.0 3.76991118431 -220.997863910000
1.25663706144 0.0 3.76991118431 -220.997896250000
1.25663706144 0.0 3.76991118431 -220.997922810000
1.25663706144 0.0 3.76991118431 -220.997993910000
1.25663706144 0.0 3.76991118431 -220.998039290000
1.25663706144 0.0 3.76991118431 -220.998083810000
1.25663706144 0.0 3.76991118431 -220.998166380000
1.25663706144 0.0 5.02654824574 -220.997845450000
1.25663706144 0.0 5.02654824574 -220.997902430000
1.25663706144 0.0 5.02654824574 -220.998042980000
1.25663706144 0.0 5.02654824574 -220.998139070000
1.25663706144 0.0 5.02654824574 -220.998197130000
1.25663706144 0.0 5.02654824574 -220.998226660000
1.25663706144 0.0 5.02654824574 -220.998282700000
1.25663706144 0.0 5.02654824574 -220.998301800000
1.25663706144 0.0 5.02654824574 -220.998320960000
1.25663706144 0.0 5.02654824574 -220.998336440000
1.25663706144 0.628318530718 0.0 -220.997118780000
1.25663706144 0.628318530718 0.0 -220.997148160000
1.25663706144 0.628318530718 0.0 -220.997184170000
1.25663706144 0.628318530718 0.0 -220.997285740000
1.25663706144 0.628318530718 0.0 -220.997299790000
1.25663706144 0.628318530718 0.0 -220.997425420000
1.25663706144 0.628318530718 0.0 -220.997492280000
1.25663706144 0.628318530718 0.0 -220.997690630000
1.25663706144 0.628318530718 0.0 -220.997808710000
1.25663706144 0.628318530718 0.0 -220.997818560000
1.25663706144 0.628318530718 1.25663706144 -220.997533080000
1.25663706144 0.628318530718 1.25663706144 -220.997630680000
1.25663706144 0.628318530718 1.25663706144 -220.997683330000
1.25663706144 0.628318530718 1.25663706144 -220.997737490000
1.25663706144 0.628318530718 1.25663706144 -220.997748900000
1.25663706144 0.628318530718 1.25663706144 -220.997789580000
1.25663706144 0.628318530718 1.25663706144 -220.997812530000
1.25663706144 0.628318530718 1.25663706144 -220.997814930000
1.25663706144 0.628318530718 1.25663706144 -220.997834480000
1.25663706144 0.628318530718 1.25663706144 -220.997840650000
1.25663706144 0.628318530718 2.51327412287 -220.997503570000
1.25663706144 0.628318530718 2.51327412287 -220.997592450000
1.25663706144 0.628318530718 2.51327412287 -220.997606930000
1.25663706144 0.628318530718 2.51327412287 -220.997658310000
1.25663706144 0.628318530718 2.51327412287 -220.997686540000
1.25663706144 0.628318530718 2.51327412287 -220.997689810000
1.25663706144 0.628318530718 2.51327412287 -220.997706560000
1.25663706144 0.628318530718 2.51327412287 -220.997732780000
1.25663706144 0.628318530718 2.51327412287 -220.997748800000
1.25663706144 0.628318530718 2.51327412287 -220.997756300000
1.25663706144 0.628318530718 3.76991118431 -220.997653000000
1.25663706144 0.628318530718 3.76991118431 -220.997657860000
1.25663706144 0.628318530718 3.76991118431 -220.997709520000
1.25663706144 0.628318530718 3.76991118431 -220.997722670000
1.25663706144 0.628318530718 3.76991118431 -220.997790580000
1.25663706144 0.628318530718 3.76991118431 -220.997811460000
1.25663706144 0.628318530718 3.76991118431 -220.997881990000
